date,team1,team2,winner,elo_diff,elo_diff_sq,team1_recent_winrate,team2_recent_winrate,head_to_head,venue_winrate_team1,t1_bat_score,t2_bat_score,t1_bowl_score,t2_bowl_score,bat_score_diff,bowl_score_diff,matchup_diff,toss_winner_is_team1,t1_season_match_num,t2_season_match_num,target
2012-04-21,Delhi Daredevils,Pune Warriors,Pune Warriors,47.57427065432239,0.2263,0.5,0.5,1.0,0.4762,213.527,200.57,2.892,2.43,12.957,0.462,12.572,1,5,6,0
2012-04-22,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,-73.58135437253554,-0.5414,0.5,0.5,0.625,0.3333,223.992,185.563,2.697,2.656,38.429,0.041,-20.654,0,6,5,1
2012-04-22,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,-59.47536839298891,-0.3537,0.3,0.4,0.25,1.0,206.458,192.372,3.01,3.237,14.086,-0.227,29.354,0,4,6,0
2012-04-23,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,-24.812041086177032,-0.0616,0.5,0.5,0.5,0.75,229.126,226.683,5.119,2.164,2.443,2.955,17.523,1,7,6,0
2012-04-24,Delhi Daredevils,Pune Warriors,Delhi Daredevils,15.764021466782197,0.0249,0.5,0.5,0.5,0.5,214.369,205.817,2.543,2.439,8.552,0.104,-11.489,0,6,7,1
2012-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,-39.73849343659981,-0.1579,0.5,0.5,0.6667,0.5789,196.424,197.423,2.692,2.217,-0.999,0.475,-27.494,1,7,6,0
2012-04-26,Deccan Chargers,Pune Warriors,Deccan Chargers,-38.90010211609683,-0.1513,0.3,0.4,0.5,0.5,184.685,200.335,2.582,2.342,-15.65,0.24,-26.449,1,5,8,1
2012-04-27,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,-20.793603848177558,-0.0432,0.5,0.6,0.4444,0.4545,222.822,229.743,2.461,2.051,-6.921,0.41,8.953,0,7,7,1
2012-04-28,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,97.25736384477682,0.9459,0.6,0.4,0.8571,0.72,277.127,227.113,2.304,2.756,50.014,-0.452,25.987,0,7,8,0
2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,-28.0381581265176,-0.0786,0.5,0.5,0.4444,0.5833,181.94,230.451,3.191,2.406,-48.511,0.785,-5.092,1,7,7,1
2012-04-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,36.28061309007671,0.1316,0.6,0.5,0.5,0.4783,237.708,206.975,2.572,4.847,30.733,-2.275,93.74,1,8,8,1
2012-04-29,Deccan Chargers,Mumbai Indians,Mumbai Indians,-71.79031253609719,-0.5154,0.4,0.5,0.4444,1.0,208.767,203.046,2.976,2.982,5.721,-0.006,1.48,0,6,8,0
2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,19.220081857338077,0.0369,0.6,0.5,0.7143,0.6923,268.289,183.264,2.26,3.163,85.025,-0.903,-9.575,1,8,8,0
2012-05-01,Deccan Chargers,Pune Warriors,Deccan Chargers,-18.92582984434125,-0.0358,0.4,0.4,0.6667,0.6667,189.642,196.562,3.465,2.031,-6.92,1.434,11.657,1,7,9,1
2012-05-01,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,61.367322640282055,0.3766,0.7,0.5,0.5556,0.0,224.374,235.653,2.279,4.505,-11.279,-2.226,10.109,0,9,9,1
2012-05-02,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,-40.18121671985296,-0.1615,0.4,0.5,0.4444,0.3333,200.622,222.617,3.08,2.148,-21.995,0.932,-13.847,1,9,8,1
2012-05-03,Mumbai Indians,Pune Warriors,Mumbai Indians,89.92169226491205,0.8086,0.5,0.4,0.6667,0.5,173.584,222.663,2.893,2.129,-49.079,0.764,-5.574,1,9,10,1
2012-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,83.12708012894291,0.691,0.5,0.4,0.5556,0.6667,270.545,186.864,2.178,3.109,83.681,-0.931,-10.875,1,9,8,1
2012-05-05,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,114.50765941608438,1.3112,0.6,0.3,1.0,0.6,186.432,210.098,2.853,1.805,-23.666,1.048,-18.58,1,9,11,1
2012-05-05,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,35.21511855345466,0.124,0.5,0.4,0.375,0.55,216.454,233.129,2.914,3.975,-16.675,-1.061,12.253,0,10,10,0
2012-05-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,4.060774467645615,0.0016,0.5,0.6,0.4444,0.5,258.266,194.514,2.25,2.773,63.752,-0.523,7.661,0,10,10,0
2012-05-06,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,-71.56505781360806,-0.5122,0.3,0.4,0.5556,0.5,203.831,212.794,3.34,1.946,-8.963,1.394,-27.774,0,9,9,0
2012-05-07,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-1.8481514742220495,-0.0003,0.8,0.7,0.5714,0.5,192.424,176.867,2.486,2.948,15.557,-0.462,-17.158,1,10,10,0
2012-05-08,Pune Warriors,Rajasthan Royals,Rajasthan Royals,-62.693170373637486,-0.393,0.2,0.4,0.0,0.4,187.935,236.397,1.758,4.031,-48.462,-2.273,18.163,1,12,11,0
2012-05-08,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,-58.34991409917211,-0.3405,0.2,0.5,0.375,0.0714,221.824,212.119,2.379,2.338,9.705,0.041,62.792,1,10,11,0
2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,31.93421871701503,0.102,0.6,0.5,0.5556,0.5556,207.768,228.196,2.587,2.067,-20.428,0.52,-2.612,0,11,10,0
2012-05-10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,36.08160062219508,0.1302,0.5,0.4,0.6,0.5,227.009,236.562,3.021,4.272,-9.553,-1.251,-1.525,1,11,12,1
2012-05-10,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,-120.76656216986248,-1.4585,0.2,0.7,0.4,0.0667,217.608,205.77,2.227,3.062,11.838,-0.835,-12.935,1,11,11,0
2012-05-11,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,-129.39186775364556,-1.6742,0.2,0.5,0.0,0.3333,231.32,222.353,2.238,2.16,8.967,0.078,10.481,1,13,11,0
2012-05-12,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,28.266300899148973,0.0799,0.8,0.6,0.125,0.6154,182.694,219.274,3.235,2.517,-36.58,0.718,-8.562,0,11,12,0
2012-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,-4.319726541222508,-0.0019,0.5,0.8,0.5,0.6786,225.511,233.969,2.858,2.947,-8.458,-0.089,0.739,1,12,12,1
2012-05-13,Pune Warriors,Rajasthan Royals,Rajasthan Royals,-82.15805252081145,-0.675,0.1,0.4,0.0,0.0,202.703,255.968,1.799,4.082,-53.265,-2.283,-10.623,0,14,13,0
2012-05-13,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,-91.0118227641592,-0.8283,0.2,0.6,0.3333,0.0,257.36,211.811,2.254,2.943,45.549,-0.689,34.442,1,12,12,0
2012-05-14,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,7.489828530737896,0.0056,0.6,0.6,0.5,1.0,229.439,232.998,2.599,2.332,-3.559,0.267,3.29,1,13,12,1
2012-05-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,4.6122483253359405,0.0021,0.6,0.8,0.625,0.6667,270.314,197.55,2.646,2.902,72.764,-0.256,-5.046,1,13,12,1
2012-05-15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,23.80765945150779,0.0567,0.7,0.6,0.375,0.48,226.259,261.692,3.084,2.973,-35.433,0.111,29.688,0,13,13,1
2012-05-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,-29.519082678345967,-0.0871,0.7,0.6,0.1111,0.0,180.259,236.306,3.102,2.554,-56.047,0.548,-2.278,0,13,14,1
2012-05-17,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,74.6923664528565,0.5579,0.6,0.5,0.75,1.0,224.268,200.788,3.052,3.047,23.48,0.005,29.092,0,14,14,0
2012-05-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,12.807417103378384,0.0164,0.7,0.6,0.625,0.5,176.36,226.539,2.394,2.269,-50.179,0.125,-7.599,1,14,13,0
2012-05-18,Deccan Chargers,Rajasthan Royals,Deccan Chargers,-95.06801463924783,-0.9038,0.2,0.5,0.125,0.0625,249.705,269.234,2.549,4.919,-19.529,-2.37,5.149,0,13,14,1
2012-05-19,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,18.411921081125456,0.0339,0.6,0.6,0.4444,0.0,213.1,205.07,2.383,3.133,8.03,-0.75,15.247,1,15,15,1
2012-05-19,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,165.02627990046426,2.7234,0.7,0.1,1.0,0.5,177.337,153.587,3.308,2.246,23.75,1.062,16.249,1,14,15,1
2012-05-20,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,-132.66071235076834,-1.7599,0.3,0.7,0.5,0.1176,247.951,248.656,2.633,2.361,-0.705,0.272,6.547,0,14,14,1
2012-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,78.2524640293068,0.6123,0.6,0.4,0.5,0.3333,213.846,217.467,2.578,4.996,-3.621,-2.418,-9.661,0,15,15,1
2012-05-22,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-16.812458579997383,-0.0283,0.7,0.8,0.5,1.0,215.464,179.419,2.528,3.646,36.045,-1.118,-7.723,0,16,15,0
2012-05-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,-9.955168693556516,-0.0099,0.6,0.7,0.4,0.3333,230.952,221.571,2.781,2.397,9.381,0.384,-13.821,0,15,16,1
2012-05-25,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,36.81732513329644,0.1356,0.6,0.6,0.5556,0.6897,233.377,274.26,2.725,2.111,-40.883,0.614,11.282,0,16,17,1
2012-05-27,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,5.880699468541479,0.0035,0.6,0.8,0.6667,0.7,250.292,182.46,2.884,3.189,67.832,-0.305,-4.716,1,17,16,0
2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-49.15224864047991,-0.2416,0.5,0.8,0.4444,0.3333,178.276,197.287,1.893,2.958,-19.011,-1.065,-12.382,0,0,0,0
2013-04-04,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,14.547387708499627,0.0212,0.6,0.6,0.5455,0.8,211.498,252.67,1.879,2.277,-41.172,-0.398,2.203,1,0,0,0
2013-04-05,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,-84.64413230774176,-0.7165,0.1,0.5,0.5,1.0,178.565,174.882,2.656,2.708,3.683,-0.052,-6.902,1,0,0,0
2013-04-06,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,26.577501096479864,0.0706,0.4,0.3,0.6,0.4815,151.209,223.616,2.073,4.289,-72.407,-2.216,17.284,0,1,0,0
2013-04-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,26.57819737430941,0.0706,0.6,0.6,0.4545,0.6774,264.454,227.039,2.454,2.348,37.415,0.106,-3.444,0,0,1,0
2013-04-07,Kings XI Punjab,Pune Warriors,Kings XI Punjab,93.88673688882956,0.8815,0.6,0.0,0.25,0.0,213.91,161.27,2.856,2.545,52.64,0.311,21.44,0,0,1,1
2013-04-08,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,84.72590071739023,0.7178,0.8,0.4,0.5556,0.3333,211.225,213.889,2.951,4.426,-2.664,-1.475,-0.708,1,1,1,0
2013-04-09,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,22.67453207233416,0.0514,0.6,1.0,0.5,0.5,240.693,158.833,2.39,2.91,81.86,-0.52,-4.272,0,1,1,1
2013-04-09,Delhi Daredevils,Mumbai Indians,Mumbai Indians,-48.92908283290012,-0.2394,0.3,0.6,0.5,0.3333,142.987,205.367,2.832,2.612,-62.38,0.22,7.81,0,2,2,0
2013-04-10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,21.32095987660796,0.0455,0.6,0.6,0.6667,0.5,238.088,262.233,2.724,2.947,-24.145,-0.223,-2.31,1,1,1,1
2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9.36605816423753,0.0088,0.7,0.6,0.5,0.5,181.269,255.587,3.154,2.526,-74.318,0.628,2.016,0,2,2,0
2013-04-11,Pune Warriors,Rajasthan Royals,Pune Warriors,-111.35893992125784,-1.2401,0.0,0.5,0.0,0.2222,164.71,199.236,2.405,5.413,-34.526,-3.008,25.711,0,2,2,1
2013-04-12,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,-24.763672022002535,-0.0613,0.3,0.5,0.5,0.4643,225.592,172.516,2.601,2.933,53.076,-0.332,5.871,1,3,2,0
2013-04-13,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,-17.437993571457582,-0.0304,0.6,0.7,0.5833,0.6562,259.509,262.69,3.202,2.445,-3.181,0.757,0.271,1,2,3,1
2013-04-13,Mumbai Indians,Pune Warriors,Mumbai Indians,133.0815363715667,1.7711,0.6,0.1,0.75,0.5238,222.864,175.367,2.573,2.288,47.497,0.285,-13.637,1,3,3,1
2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,30.834684372003267,0.0951,0.6,0.6667,0.5,0.5862,204.776,149.212,3.154,3.103,55.564,0.051,-2.115,1,3,3,1
2013-04-14,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,8.338062311489693,0.007,0.6,0.5,0.3333,0.0,238.573,225.206,2.75,5.003,13.367,-2.253,-18.772,0,2,3,0
2013-04-15,Chennai Super Kings,Pune Warriors,Pune Warriors,154.20983433546303,2.3781,0.7,0.1,0.75,0.6667,223.501,166.013,3.149,2.079,57.488,1.07,8.091,0,3,4,0
2013-04-16,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,-72.75094726108273,-0.5293,0.5,0.6,0.4444,0.5217,226.969,212.165,2.688,3.416,14.804,-0.728,1.281,0,3,4,1
2013-04-17,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,-74.12608293360927,-0.5495,0.2,0.5,0.0,0.5,175.127,129.576,2.348,2.925,45.551,-0.577,-2.744,1,5,4,0
2013-04-17,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,52.95113445685388,0.2804,0.6,0.6,0.5556,0.5,239.207,206.49,2.254,4.94,32.717,-2.686,-4.846,0,4,4,0
2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,78.4230253324049,0.615,0.6,0.2,0.6,0.6667,257.042,198.027,2.838,2.169,59.015,0.669,12.729,1,4,4,1
2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,-10.562913140694036,-0.0112,0.5,0.6,0.5,1.0,225.36,133.578,3.095,3.275,91.782,-0.18,-11.341,1,4,5,0
2013-04-20,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,11.838183382576515,0.014,0.6,0.6,0.6,0.75,263.851,191.027,4.505,3.539,72.824,0.966,-0.764,0,5,5,1
2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,-28.22559397454006,-0.0797,0.6,0.7,0.4444,0.6667,203.608,259.978,5.211,2.664,-56.37,2.547,15.245,0,5,4,0
2013-04-21,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,-89.67594918525629,-0.8042,0.2,0.6,0.4545,0.4333,215.73,242.681,2.003,2.455,-26.951,-0.452,10.879,0,5,5,1
2013-04-21,Kings XI Punjab,Pune Warriors,Kings XI Punjab,72.10383831667605,0.5199,0.5,0.2,0.4,0.5417,219.739,158.968,2.729,1.959,60.771,0.77,63.412,1,5,6,1
2013-04-22,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,57.63693322187101,0.3322,0.6,0.5,0.6364,0.6471,278.245,201.127,4.333,5.371,77.118,-1.038,-9.268,0,6,6,1
2013-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,-29.423474451130915,-0.0866,0.2,0.5,0.5,0.4516,216.927,220.352,2.536,2.708,-3.425,-0.172,18.731,0,6,6,0
2013-04-23,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,-157.46630855360172,-2.4796,0.2,0.7,0.0,0.0,298.639,257.745,1.946,2.944,40.894,-0.998,-18.138,1,7,5,0
2013-04-24,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2.706126237249009,0.0007,0.6,0.5,0.2,0.5806,176.866,248.993,3.326,2.024,-72.127,1.302,-15.446,1,6,6,0
2013-04-25,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,51.8946425508841,0.2693,0.7,0.6667,0.5,0.6571,288.26,158.417,3.231,3.683,129.843,-0.452,30.581,0,7,6,1
2013-04-26,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,-0.9616545093408604,-0.0001,0.5,0.5,0.5,0.5,237.654,176.607,2.757,3.425,61.047,-0.668,-5.977,1,7,7,0
2013-04-27,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,-17.21514305702226,-0.0296,0.5,0.5714,0.5,0.6786,234.998,184.859,5.653,3.27,50.139,2.383,-3.879,0,7,7,1
2013-04-27,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,-31.856886981556045,-0.1015,0.5,0.7,0.5,0.5455,225.169,281.416,2.23,3.138,-56.247,-0.908,26.424,1,7,6,1
2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,62.65518483523897,0.3926,0.7,0.5,0.6364,0.6667,232.803,208.353,3.539,3.024,24.45,0.515,6.66,0,8,8,1
2013-04-28,Delhi Daredevils,Pune Warriors,Delhi Daredevils,60.19064894260532,0.3623,0.2,0.2,0.6667,0.5,194.792,225.828,2.374,1.874,-31.036,0.5,57.737,0,7,8,1
2013-04-29,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,-43.737590836582285,-0.1913,0.5,0.6,0.4,0.6897,253.54,253.549,5.839,2.923,-0.009,2.916,19.47,1,8,7,1
2013-04-29,Kings XI Punjab,Mumbai Indians,Mumbai Indians,-55.71495736318161,-0.3104,0.5,0.6,0.6,0.5,240.447,231.938,2.662,2.281,8.509,0.381,-25.958,0,8,8,0
2013-04-30,Chennai Super Kings,Pune Warriors,Chennai Super Kings,215.92750528110105,4.6625,0.7,0.2,0.6,0.0,262.203,199.002,3.412,1.848,63.201,1.564,7.513,1,9,9,1
2013-05-01,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,66.38599485271106,0.4407,0.6,0.5,0.5,1.0,235.759,204.077,2.48,3.148,31.682,-0.668,25.276,1,9,8,0
2013-05-01,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,-46.87988795185015,-0.2198,0.2,0.4,0.4,1.0,198.735,202.546,2.441,2.927,-3.811,-0.486,9.218,0,8,9,1
2013-05-02,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,121.08535399371476,1.4662,0.8,0.4,0.7,0.6757,274.584,222.625,3.412,2.092,51.959,1.32,30.436,1,10,9,1
2013-05-02,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,-160.41404447359878,-2.5733,0.2,0.6,0.0,0.2727,158.443,267.927,2.091,2.724,-109.484,-0.633,-53.131,0,10,8,0
2013-05-03,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,-27.52304003057543,-0.0758,0.3,0.6,0.5,0.5758,199.913,271.67,2.949,5.477,-71.757,-2.528,-5.477,0,10,9,1
2013-05-04,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,-31.36630676673508,-0.0984,0.3,0.5556,0.0,1.0,191.725,191.01,2.132,3.126,0.715,-0.994,7.391,1,9,9,0
2013-05-05,Chennai Super Kings,Mumbai Indians,Mumbai Indians,67.7745792117039,0.4593,0.9,0.6,0.4167,0.4,278.169,252.885,3.404,2.233,25.284,1.171,-9.541,0,11,10,0
2013-05-05,Pune Warriors,Rajasthan Royals,Rajasthan Royals,-141.03538902298942,-1.9891,0.2,0.6,0.25,0.0,171.857,253.821,2.325,5.577,-81.964,-3.252,-14.682,1,11,10,0
2013-05-06,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,-70.30105748962842,-0.4942,0.4,0.6,0.5,0.56,217.522,260.976,2.107,3.088,-43.454,-0.981,2.774,1,10,9,1
2013-05-07,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,-48.89020479784904,-0.239,0.3,0.6,0.5455,0.3333,225.965,274.553,2.341,5.449,-48.588,-3.108,27.93,1,10,11,0
2013-05-07,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,-50.93195515186949,-0.2594,0.3,0.7,0.1818,0.3333,197.94,239.595,2.799,2.453,-41.655,0.346,-4.809,0,11,11,0
2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,71.43828590565681,0.5103,0.8,0.6,1.0,1.0,268.374,178.772,3.044,3.6,89.602,-0.556,8.799,0,12,10,1
2013-05-09,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,-38.8616346972417,-0.151,0.4,0.6,0.3,0.5769,221.17,228.861,2.147,5.25,-7.691,-3.103,-1.242,0,11,12,0
2013-05-09,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,140.3733653846689,1.9705,0.3,0.2,1.0,1.0,207.329,193.269,2.641,2.373,14.06,0.268,-20.603,1,12,12,1
2013-05-10,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,-70.82582446820516,-0.5016,0.3,0.6,0.5556,0.4375,226.023,286.863,1.924,2.776,-60.84,-0.852,20.049,1,11,10,0
2013-05-11,Mumbai Indians,Pune Warriors,Mumbai Indians,223.8623908985037,5.0114,0.7,0.1,0.8,1.0,208.888,171.237,2.755,2.254,37.651,0.501,20.87,0,12,13,1
2013-05-11,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,-36.05318682468351,-0.13,0.4,0.5,0.0,0.5556,209.587,192.95,2.308,2.87,16.637,-0.562,6.894,1,12,11,0
2013-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,-30.32679958298604,-0.092,0.4,0.6,0.4545,0.5,193.758,292.723,2.792,2.519,-98.965,0.273,-3.395,1,13,11,1
2013-05-12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,66.07125990792974,0.4365,0.8,0.7,0.6667,0.6667,290.416,254.216,3.091,5.032,36.2,-1.941,-9.537,0,13,13,0
2013-05-13,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,53.67881337769836,0.2881,0.7,0.6,0.0,0.6154,224.107,190.537,2.921,3.048,33.57,-0.127,16.29,0,13,12,1
2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,146.0419630315198,2.1328,0.8,0.3,0.6364,0.6842,293.976,194.375,2.992,2.458,99.601,0.534,18.358,1,14,12,1
2013-05-14,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,-57.67052848661683,-0.3326,0.4,0.5,0.5455,0.5,221.933,287.833,2.395,2.628,-65.9,-0.233,-9.479,1,13,12,1
2013-05-15,Mumbai Indians,Rajasthan Royals,Mumbai Indians,33.76499377443679,0.114,0.7,0.7,0.5,0.6296,193.717,273.485,3.24,4.816,-79.768,-1.576,6.983,0,14,14,1
2013-05-15,Kolkata Knight Riders,Pune Warriors,Pune Warriors,178.90764794105826,3.2008,0.4,0.1,1.0,1.0,191.032,167.774,2.868,2.232,23.258,0.636,-3.153,1,14,14,0
2013-05-16,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,-45.047922842110665,-0.2029,0.3,0.4,0.4545,0.5,222.141,235.686,2.079,2.514,-13.545,-0.435,29.013,1,13,14,0
2013-05-17,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,30.978215046564628,0.096,0.6,0.5,1.0,0.6667,275.576,193.779,4.838,2.853,81.797,1.985,5.79,0,15,13,0
2013-05-18,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,-110.83696166676371,-1.2285,0.5,0.8,0.5455,0.5,218.896,224.899,3.306,2.477,-6.003,0.829,-9.513,0,15,15,1
2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,92.80685593468776,0.8613,0.8,0.4,0.6154,0.5,283.585,254.151,3.207,2.632,29.434,0.575,-2.34,1,15,13,0
2013-05-19,Delhi Daredevils,Pune Warriors,Pune Warriors,59.55301613687698,0.3547,0.3,0.1,0.75,0.5,179.737,177.98,1.445,2.413,1.757,-0.968,24.271,0,14,15,0
2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,-27.40033342585366,-0.0751,0.4,0.6,1.0,1.0,195.898,209.48,2.467,2.967,-13.582,-0.5,35.016,1,15,14,0
2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,-4.492519733093104,-0.002,0.7,0.8,0.3846,0.75,266.103,230.996,3.35,2.837,35.107,0.513,7.084,1,16,16,1
2013-05-22,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,-12.409919641434954,-0.0154,0.6,0.6,0.5,0.25,244.283,192.696,5.066,2.913,51.587,2.153,8.667,0,16,15,1
2013-05-24,Mumbai Indians,Rajasthan Royals,Mumbai Indians,27.295886459809253,0.0745,0.7,0.7,0.5455,0.8,226.898,230.684,2.604,4.984,-3.786,-2.38,6.105,0,17,17,1
2013-05-26,Chennai Super Kings,Mumbai Indians,Mumbai Indians,10.967151296254087,0.012,0.7,0.7,0.4286,0.8,271.884,216.028,3.32,2.603,55.856,0.717,8.162,0,17,18,0
2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,-76.94865462462917,-0.5921,0.4,0.7,0.1667,0.5,184.67,226.234,3.263,3.153,-41.564,0.11,-9.295,1,0,0,1
2014-04-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,-81.43627360107416,-0.6632,0.3,0.5,0.5,0.5,158.164,234.796,1.789,1.767,-76.632,0.022,48.674,0,0,0,0
2014-04-18,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,2.58118945142769,0.0007,0.6,0.5,0.6667,0.5,198.381,214.486,4.386,3.125,-16.105,1.261,25.056,1,0,0,1
2014-04-18,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,48.60971376242605,0.2363,0.6,0.5,0.7273,0.5,267.615,172.078,2.939,2.523,95.537,0.416,-6.078,1,0,0,0
2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,24.78102337495397,0.0614,0.7,0.5,0.5385,0.5,209.283,219.881,2.723,2.027,-10.598,0.696,-8.067,0,1,1,0
2014-04-19,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,-84.92514455957303,-0.7212,0.2,0.5,0.4545,0.5,172.446,196.867,1.546,3.301,-24.421,-1.755,-5.247,0,1,1,1
2014-04-20,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,-11.82145666311726,-0.014,0.5,0.6,0.2727,0.5,198.683,201.201,2.448,3.843,-2.518,-1.395,22.806,1,1,1,1
2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,98.97980085143672,0.9797,0.5,0.3,0.6667,0.0,274.468,160.073,2.288,1.758,114.395,0.53,-4.92,1,1,2,1
